PDBchain   len  method   resol   rfac  freerfac
2VG0A      227  XRAY       1.7  0.176  0.215
1YRKA      126  XRAY       1.7  0.176  0.221
2BO1A      101  XRAY       1.7  0.176   0.24
3OZZB       82  XRAY       1.7  0.176  0.229
5WQKA      293  XRAY       1.7  0.177  0.221
3BODA      178  XRAY       1.7  0.178   0.22
5BPHA      306  XRAY       1.7  0.179  0.209
4MKOA      236  XRAY       1.7   0.18  0.205
1MOGA       67  XRAY       1.7   0.18  0.208
3MTWA      403  XRAY       1.7  0.181  0.203
2DEIA      350  XRAY       1.7  0.181  0.221
3MHPA      296  XRAY       1.7  0.181  0.206
5T1XB      110  XRAY       1.7  0.181  0.204
4JCHA      436  XRAY       1.7  0.182  0.215
6I8OA      362  XRAY       1.7  0.182  0.235
6O6NA      195  XRAY       1.7  0.182   0.21
2UVPC      186  XRAY       1.7  0.182  0.214
1ZD7A      159  XRAY       1.7  0.182  0.202
1MTYD      512  XRAY       1.7  0.183  NA   
1MTYB      384  XRAY       1.7  0.183  NA   
2EYIA      234  XRAY       1.7  0.183  0.205
7MFUA      197  XRAY       1.7  0.183  0.215
1MTYG      162  XRAY       1.7  0.183  NA   
2V4NA      254  XRAY       1.7  0.184  0.212
1OQ1A      223  XRAY       1.7  0.184  0.208
2F6LA      166  XRAY       1.7  0.184  0.222
2RH3A      121  XRAY       1.7  0.184  0.209
1ORGA      118  XRAY       1.7  0.184  0.214
1OSYA      115  XRAY       1.7  0.184   0.21
3RRSA      822  XRAY       1.7  0.185  0.209
1NB9A      147  XRAY       1.7  0.185  0.206
5ZDIA      107  XRAY       1.7  0.185  0.224
2NTPA      342  XRAY       1.7  0.186  0.217
4X3LA      260  XRAY       1.7  0.186  0.207
1WO8A      126  XRAY       1.7  0.186  0.204
3UQ8A      322  XRAY       1.7  0.187  0.216
3HIHA      223  XRAY       1.7  0.188  0.219
3BOHA      213  XRAY       1.7  0.188  0.224
2RJ2A      185  XRAY       1.7  0.188  0.215
1NE9A      335  XRAY       1.7  0.189  0.209
1NVMB      312  XRAY       1.7  0.189   0.23
1GCAA      309  XRAY       1.7   0.19  NA   
6ZMBC      200  XRAY       1.7   0.19  0.217
6R6MA      110  XRAY       1.7   0.19   0.21
1PBYB      337  XRAY       1.7  0.191  0.224
1QD1B      325  XRAY       1.7  0.191  0.213
4K61A      140  XRAY       1.7  0.191  0.212
1U9DA      122  XRAY       1.7  0.191  0.237
5N88E       80  XRAY       1.7  0.191  0.252
1PBYC       79  XRAY       1.7  0.191  0.224
3BV4A      341  XRAY       1.7  0.192  0.215
4DOKA      208  XRAY       1.7  0.192  0.219
3C7XA      196  XRAY       1.7  0.192  0.207
1PXZA      346  XRAY       1.7  0.193  0.241
1SRVA      145  XRAY       1.7  0.193  0.257
1RH6A       55  XRAY       1.7  0.193  0.226
1DUVG      333  XRAY       1.7  0.194  0.221
6OIOA      273  XRAY       1.7  0.194  0.221
2QWOB       92  XRAY       1.7  0.194  0.222
1L6SA      323  XRAY       1.7  0.195  0.243
1NEPA      130  XRAY       1.7  0.195  0.212
1DGWA      178  XRAY       1.7  0.196  0.252
1H6HA      143  XRAY       1.7  0.196  0.232
1EWFA      456  XRAY       1.7  0.198   0.25
1FTRA      296  XRAY       1.7  0.198  0.248
1J83A      180  XRAY       1.7  0.198  0.219
1FLTX       95  XRAY       1.7  0.198  0.261
4XVVA       77  XRAY       1.7  0.198  0.226
3QVSA      392  XRAY       1.7  0.201  0.243
2BOPA       85  XRAY       1.7  0.201  NA   
3R90J      188  XRAY       1.7  0.202  0.235
6OMPA      356  XRAY       1.7  0.203  0.247
1T1JB      125  XRAY       1.7  0.203  0.229
3T7ZA      119  XRAY       1.7  0.203  0.231
1DQIA      124  XRAY       1.7  0.204  0.217
3IXSA      111  XRAY       1.7  0.204  0.234
7B0XC      211  XRAY       1.7  0.205  0.252
2P8BA      369  XRAY       1.7  0.206  0.227
3H01A       54  XRAY       1.7  0.206  0.228
2O99C      182  XRAY       1.7  0.207  0.261
7BWFB       92  XRAY       1.7  0.207   0.23
7BWFA       87  XRAY       1.7  0.207   0.23
2VGPD       43  XRAY       1.7  0.208  0.243
2E8EA      132  XRAY       1.7  0.209  0.233
2GGSA      273  XRAY       1.7   0.21  0.253
1OA8D      133  XRAY       1.7   0.21  0.252
6IOWB      340  XRAY       1.7  0.211  0.244
2ZYZB      183  XRAY       1.7  0.212  0.252
1KAEA      434  XRAY       1.7  0.213  0.241
3E9VA      120  XRAY       1.7  0.213  0.248
1QGEE       97  XRAY       1.7  0.213  0.228
1VCDA      126  XRAY       1.7  0.214  0.237
1OIOA      178  XRAY       1.7  0.216  0.238
2QTRA      189  XRAY       1.7  0.219  0.257
3PSAA      326  XRAY       1.7   0.22  0.235
3FJ7A      231  XRAY       1.7   0.22  0.242
1MK4A      157  XRAY       1.7   0.22  0.228
2EG4A      230  XRAY       1.7  0.222  0.249
3BEOA      375  XRAY       1.7  0.223  0.262
1F3UA      118  XRAY       1.7  0.225   0.26
1KS9A      291  XRAY       1.7   0.23  0.289
1MZ9A       45  XRAY       1.7  0.231  0.254
2DQLA      115  XRAY       1.7  0.234  0.255
3SWKA       86  XRAY       1.7  0.234  0.272
5UVRA       98  XRAY       1.7  0.235  0.267
2FPHX      165  XRAY       1.7  0.243  0.299
1QSTA      160  XRAY       1.7  0.244  0.278
3TIPA      132  XRAY     1.701    0.2  0.239
6KNEA      169  XRAY     1.701  0.232  0.265
3N1EB      141  XRAY     1.702  0.178  0.211
6P9KA      414  XRAY     1.703  0.145  0.169
6FHPA      342  XRAY     1.703  0.188  0.226
5MALA      234  XRAY     1.708  0.168  0.214
5CPZD      284  XRAY      1.71  0.155  0.172
2HP3A      446  XRAY      1.71  0.159  0.192
3KSED       98  XRAY      1.71   0.16  0.204
7M5IA      160  XRAY      1.71  0.175  0.203
6VH9A      255  XRAY      1.71  0.178  0.201
6B12B      153  XRAY      1.71  0.183  0.216
6XH2A       93  XRAY      1.71  0.193  0.209
1BM8A       99  XRAY      1.71  0.197  0.261
4KT6B      161  XRAY      1.71  0.199  0.235
1GWYA      175  XRAY      1.71  0.216  0.256
4QAGA      133  XRAY     1.712  0.183   0.19
4LQBA      130  XRAY      1.72  0.142  0.183
7L00C      315  XRAY      1.72  0.146  0.185
7BXBA      220  XRAY      1.72  0.161  0.194
1QIPB      183  XRAY      1.72   0.17   0.21
5IRCA      201  XRAY      1.72  0.171  0.213
3TM9A      146  XRAY      1.72  0.176  0.206
6IL9A      490  XRAY      1.72  0.183  0.218
7SEWA      321  XRAY      1.72  0.187  0.229
2HY5A      130  XRAY      1.72  0.203  0.211
4BJ4A      246  XRAY     1.722  0.173  0.201
5A8SA      254  XRAY     1.724  0.123  0.166
5IXPA      393  XRAY      1.73  0.132  0.172
4P13A      387  XRAY      1.73  0.146  0.163
5VISA      275  XRAY      1.73  0.158  0.191
2PBKA      228  XRAY      1.73  0.163  0.204
5N9TA      357  XRAY      1.73  0.164  0.224
5JIWA      500  XRAY      1.73  0.165  0.188
1XV5A      401  XRAY      1.73  0.175  0.205
5U6AE       63  XRAY     1.736  0.161  0.188
5IZWA      101  XRAY     1.738  0.177  0.208
6MEZB      360  XRAY      1.74  0.134  0.159
5F0EB       88  XRAY      1.74  0.143  0.169
4A35A      441  XRAY      1.74  0.153  0.176
4BWRA      467  XRAY      1.74  0.157  0.192
3EO8A      219  XRAY      1.74  0.159  0.198
4OYZA      470  XRAY      1.74  0.169  0.203
5MEKA      322  XRAY      1.74  0.169  0.208
4UEJA      346  XRAY      1.74  0.187  0.228
3ESLB      202  XRAY      1.74   0.19  0.216
2AH5A      210  XRAY      1.74  0.196  0.229
6TVAB      172  XRAY      1.74  0.202  0.215
5ZKTB       55  XRAY      1.74  0.209   0.22
5ABSA       66  XRAY      1.74  0.248  0.283
3EPVA      109  XRAY     1.742  0.199  0.259
3TF0B      188  XRAY     1.743  0.203  0.229
2ID6A      202  XRAY     1.746  0.211  0.251
4O7KA      190  XRAY     1.748  0.199  0.236
3FFRA      362  XRAY      1.75  0.144  0.162
3NSWA      106  XRAY      1.75  0.148  0.175
3KLBA      162  XRAY      1.75   0.15  0.179
3CLAA      213  XRAY      1.75  0.157  NA   
5WGMA      364  XRAY      1.75   0.16  0.185
5ZFKB      353  XRAY      1.75  0.161    0.2
4DM1A      377  XRAY      1.75  0.162  0.209
4IPIA      351  XRAY      1.75  0.165  0.197
3OOIA      232  XRAY      1.75  0.165  0.186
4LQ4A      211  XRAY      1.75  0.167   0.22
5AGYA      219  XRAY      1.75  0.168  0.187
6CIDA      421  XRAY      1.75   0.17  0.199
5KJVA      427  XRAY      1.75  0.172  0.211
3QRYA      426  XRAY      1.75  0.172  0.218
4OPWA      241  XRAY      1.75  0.172  0.198
1MDCA      132  XRAY      1.75  0.173  NA   
3WA1A      389  XRAY      1.75  0.174   0.21
1W2WA      211  XRAY      1.75  0.174  0.198
1W2WB      191  XRAY      1.75  0.174  0.198
1KPTA      105  XRAY      1.75  0.174  0.216
5LHFB      209  XRAY      1.75  0.175  0.214
2OC6A      124  XRAY      1.75  0.175  0.217
6QE3A      309  XRAY      1.75  0.176  0.197
3HSYB      376  XRAY      1.75  0.178  0.205
4ODMC      153  XRAY      1.75  0.178  0.208
3EUOA      379  XRAY      1.75  0.181  0.209
3FYDA      263  XRAY      1.75  0.181  0.226
6ISTA       70  XRAY      1.75  0.182  0.223
3EGVA      254  XRAY      1.75  0.184  0.213
3RDVD       72  XRAY      1.75  0.184  0.229
6B4EA      296  XRAY      1.75  0.185  0.211
6D7YB      155  XRAY      1.75  0.185  0.224
6IAHA      240  XRAY      1.75  0.187  0.226
5ZYNB      471  XRAY      1.75  0.191  0.239
1QWZA      235  XRAY      1.75  0.191  0.228
1WD3A      482  XRAY      1.75  0.192  0.209
1LK5A      229  XRAY      1.75  0.192  0.215
5I8JA       64  XRAY      1.75  0.193  0.223
4GN0A      105  XRAY      1.75  0.194  0.224
1XX1A      285  XRAY      1.75  0.198  0.225
5E6XA      280  XRAY      1.75  0.199  0.245
4L07A      208  XRAY      1.75  0.199  0.221
1MIXA      206  XRAY      1.75  0.199  0.239
3OAMA      252  XRAY      1.75    0.2  0.232
2D7CC       42  XRAY      1.75  0.203  0.224
6ZN1AAA    400  XRAY      1.75  0.204  0.234
1W99A      558  XRAY      1.75  0.205  0.218
2QCUB      501  XRAY      1.75  0.206   0.24
1H4PA      408  XRAY      1.75  0.206  0.228
1DQPA      230  XRAY      1.75   0.21  0.232
4IWBA      165  XRAY      1.75   0.21  0.232
2CX7B      130  XRAY      1.75  0.213   0.27
1BKBA      136  XRAY      1.75  0.214  0.236
1K66A      149  XRAY      1.75  0.216   0.25
1GO3F      107  XRAY      1.75  0.217  0.238
2BL0C      142  XRAY      1.75  0.221  0.252
2BL0A       63  XRAY      1.75  0.221  0.252
5YDVA      209  XRAY     1.752  0.211  0.253
5T6JB       92  XRAY     1.752  0.225  0.242
5T6JA       59  XRAY     1.752  0.225  0.242
4RELA      446  XRAY     1.754  0.161  0.195
4LFGA      290  XRAY      1.76  0.154  0.184
5T4BA      728  XRAY      1.76   0.16  0.186
3NGVA      296  XRAY      1.76   0.16  0.204
7NA9D      134  XRAY      1.76  0.169  0.205
4J2DA      901  XRAY      1.76  0.172  0.197
5MINB      453  XRAY      1.76  0.179  0.214
3TRQA      353  XRAY      1.76   0.18  0.213
3PMDA      153  XRAY      1.76   0.18  0.223
5WX9A      131  XRAY      1.76  0.208  0.225
6HR2B      149  XRAY      1.76  0.216  0.236
3FPUA      100  XRAY      1.76  0.234  0.285
4NURA      633  XRAY     1.761  0.154  0.184
5YJ8A       60  XRAY     1.762  0.191  0.226
3PT8B      152  XRAY     1.762  0.198  0.226
5WJEA      159  XRAY     1.765  0.181  0.217
5TBXB       92  XRAY     1.767  0.219  0.247
6NDNA      406  XRAY     1.768  0.161  0.173
5GY3A      310  XRAY      1.77  0.165  0.195
6XRWB       79  XRAY      1.77   0.18  0.219
6L3MB      420  XRAY      1.77   0.19  0.216
5MF5A      256  XRAY      1.77  0.199  0.232
6SIZB      437  XRAY      1.77  0.201  0.228
2YWRA      216  XRAY      1.77  0.204  0.219
3QYJA      291  XRAY     1.778   0.15  0.179
5WQOA      234  XRAY      1.78  0.157  0.191
1X7VC       99  XRAY      1.78  0.167  0.223
7E9BC      115  XRAY      1.78  0.172   0.21
2PQTA      295  XRAY      1.78  0.173  0.216
6MGGB      387  XRAY      1.78  0.178  0.214
1QAZA      351  XRAY      1.78   0.18  0.233
6Q9CB      418  XRAY      1.78  0.181  0.207
6Q9CA      155  XRAY      1.78  0.181  0.207
7AYWB      143  XRAY      1.78  0.183  0.228
2YCIX      271  XRAY      1.78  0.193  0.234
3W4SA      273  XRAY      1.78  0.196   0.24
6FM8A       50  XRAY      1.78  0.233   0.27
4WKTA      165  XRAY     1.782  0.166  0.192
1WP5A      323  XRAY      1.79  0.163  0.214
1I2KA      269  XRAY      1.79  0.163  0.248
5YU3A      344  XRAY      1.79  0.167  0.193
5E9QC      256  XRAY      1.79  0.169  0.202
3FT1A      100  XRAY      1.79   0.17  0.222
6GPAA      314  XRAY      1.79  0.173   0.22
7AYVA      502  XRAY      1.79  0.177  0.206
5YLBA      187  XRAY      1.79  0.188  0.233
5WKWA      312  XRAY      1.79   0.21  0.274
2PBLA      262  XRAY      1.79  0.224   0.27
4KMYA      207  XRAY     1.795  0.165  0.193
5BXDD      107  XRAY     1.796  0.204  0.226
5WWWA       94  XRAY     1.798  0.174  0.209
6I7QC       97  XRAY     1.798   0.19  0.237
5FCEB      116  XRAY     1.798  0.192  0.231
5HX1A      138  XRAY     1.799  0.175  0.213
5IQ0A      362  XRAY     1.799  0.176  0.197
5XSEA      208  XRAY     1.799  0.192   0.23
4GQZB      161  XRAY     1.799  0.229  0.276
3OHGA      285  XRAY       1.8   0.13  0.151
2BLFA      373  XRAY       1.8  0.138  0.169
3I09A      375  XRAY       1.8  0.139  0.174
6AVDA       40  XRAY       1.8  0.142  0.205
4Y9JB      593  XRAY       1.8  0.147  0.186
4OYDC      158  XRAY       1.8  0.147  0.178
4H08A      200  XRAY       1.8   0.15   0.19
3L4HA      109  XRAY       1.8  0.152    0.2
2VBOA      153  XRAY       1.8  0.153  0.225
3PIJB      526  XRAY       1.8  0.154  0.208
6WKSAAA    298  XRAY       1.8  0.154  0.188
4ZSFA      272  XRAY       1.8  0.156  0.188
1ILKA      151  XRAY       1.8  0.156  NA   
4FOKA      264  XRAY       1.8  0.157  0.198
2J7QA      232  XRAY       1.8  0.157  0.214
1RHCA      330  XRAY       1.8  0.158  0.188
5H4SA      284  XRAY       1.8  0.159  0.205
3GD8A      223  XRAY       1.8   0.16  0.165
6J0YC       58  XRAY       1.8  0.161  0.185
6ETZA      989  XRAY       1.8  0.162  0.198
4E1OC      481  XRAY       1.8  0.163  0.181
3PJ0A      359  XRAY       1.8  0.163  0.198
1GPEA      587  XRAY       1.8  0.164  0.198
4GV4A      357  XRAY       1.8  0.164  0.203
1LBUA      213  XRAY       1.8  0.164  NA   
1XS1A      193  XRAY       1.8  0.164  0.195
4XCWB      178  XRAY       1.8  0.164  0.199
6QYIB      520  XRAY       1.8  0.165  0.172
3QBMA      199  XRAY       1.8  0.167  0.213
6E4OA       71  XRAY       1.8  0.167  0.197
4K90A      389  XRAY       1.8  0.168  0.198
3KS6A      250  XRAY       1.8  0.168  0.205
2Y8WA      215  XRAY       1.8  0.168   0.21
1FN9A      365  XRAY       1.8  0.169  0.195
2A40B      260  XRAY       1.8  0.169  0.215
4QBSA      138  XRAY       1.8  0.169  0.203
5L0LA      215  XRAY       1.8   0.17  0.189
3JZ9A      197  XRAY       1.8   0.17  0.198
7RLMA      142  XRAY       1.8   0.17  0.217
2QUBA      615  XRAY       1.8  0.171    0.2
1LVMA      229  XRAY       1.8  0.171   0.23
6DURB      455  XRAY       1.8  0.172  0.193
3G77A      423  XRAY       1.8  0.172  0.199
6FMGA      140  XRAY       1.8  0.172  0.197
5NOHA      103  XRAY       1.8  0.172   0.21
1KVEB       77  XRAY       1.8  0.172  NA   
4D1JD      540  XRAY       1.8  0.173  0.195
4FS3A      256  XRAY       1.8  0.173  0.203
2TGIA      112  XRAY       1.8  0.173  NA   
5UKIA      351  XRAY       1.8  0.174   0.21
1ATZB      189  XRAY       1.8  0.174   0.24
6WI6A       58  XRAY       1.8  0.174  0.215
5D6OA      349  XRAY       1.8  0.175   0.21
2XVSA      166  XRAY       1.8  0.175  0.236
1C44A      123  XRAY       1.8  0.175  0.244
5X1UB      208  XRAY       1.8  0.176  0.198
3EWOA      177  XRAY       1.8  0.176  0.238
1H72C      296  XRAY       1.8  0.177  0.207
2UWAA      274  XRAY       1.8  0.177    0.2
5NAYE      229  XRAY       1.8  0.177  0.199
3KBYA      145  XRAY       1.8  0.177  0.201
3LY1D      354  XRAY       1.8  0.178  0.206
4Q7IA      298  XRAY       1.8  0.178  0.208
2FX5A      258  XRAY       1.8  0.178  NA   
1DLJA      402  XRAY       1.8  0.179  0.213
1LY2A      130  XRAY       1.8  0.179  0.234
3DANA      473  XRAY       1.8   0.18  0.208
6KD0A      343  XRAY       1.8   0.18  0.199
1CJWA      166  XRAY       1.8   0.18   0.23
6NC9A      475  XRAY       1.8  0.181    0.2
6P7RA      277  XRAY       1.8  0.181  0.222
5DDTA      232  XRAY       1.8  0.181  0.215
2SAKA      121  XRAY       1.8  0.181  0.237
6ZLFL      410  XRAY       1.8  0.182  0.197
3HSHA       56  XRAY       1.8  0.182  0.224
5Y96B      383  XRAY       1.8  0.183  0.204
4Z9DC      175  XRAY       1.8  0.183  0.227
1CMCA      104  XRAY       1.8  0.183  NA   
4J32B      101  XRAY       1.8  0.183  0.203
5LE5L      213  XRAY       1.8  0.184  0.212
4RK2B      400  XRAY       1.8  0.185  0.243
1WEHA      171  XRAY       1.8  0.185  0.223
6QYYA      119  XRAY       1.8  0.185  0.224
5MEBA      112  XRAY       1.8  0.185   0.21
2PORA      301  XRAY       1.8  0.186  NA   
1VC4A      254  XRAY       1.8  0.186  0.218
2ZZJA      238  XRAY       1.8  0.186  0.223
1L5WA      796  XRAY       1.8  0.187  0.216
1R89A      437  XRAY       1.8  0.187  0.226
3SP4B      204  XRAY       1.8  0.187  0.225
1T6KA      278  XRAY       1.8  0.188  0.222
1IJBA      202  XRAY       1.8  0.188  0.208
5ZMLA      191  XRAY       1.8  0.188  0.223
2AG4A      164  XRAY       1.8  0.188  0.224
3AHNA      564  XRAY       1.8  0.189    0.2
2PFZA      301  XRAY       1.8  0.189  0.236
3VPBB      282  XRAY       1.8  0.189  0.235
3PM2A      173  XRAY       1.8  0.189  0.227
2W0IA      135  XRAY       1.8  0.189  0.236
1OCKA      412  XRAY       1.8   0.19  0.226
2VHEA      194  XRAY       1.8  0.191  0.225
4M62S      155  XRAY       1.8  0.191  0.216
1NDBA      596  XRAY       1.8  0.192  0.219
6X5WA      506  XRAY       1.8  0.192  0.228
4V3QA      247  XRAY       1.8  0.192  0.236
1DUSA      194  XRAY       1.8  0.192  0.235
1ZHSA      113  XRAY       1.8  0.192  0.221
1MPGA      282  XRAY       1.8  0.194  0.247
3N2NA      185  XRAY       1.8  0.194  0.229
2EKYB      100  XRAY       1.8  0.194  0.232
2D5BA      500  XRAY       1.8  0.195  0.242
5KAYA      201  XRAY       1.8  0.195  0.233
6STDA      164  XRAY       1.8  0.195  0.224
3K6QA      139  XRAY       1.8  0.195  0.249
6I1TA      405  XRAY       1.8  0.197  0.233
1H6LA      353  XRAY       1.8  0.197  0.223
4O4BB      250  XRAY       1.8  0.197  0.221
1ZZIA       82  XRAY       1.8  0.197   0.24
4CMRA      597  XRAY       1.8  0.198  0.225
2C4NA      250  XRAY       1.8  0.198  0.218
2FYGA      128  XRAY       1.8  0.198  0.233
7BQVA      109  XRAY       1.8  0.198  0.223
1J09A      468  XRAY       1.8  0.199  0.227
6HTWB      385  XRAY       1.8  0.199  0.237
2YXNA      322  XRAY       1.8  0.199  0.247
4KE2A      196  XRAY       1.8  0.199  0.253
1NXUB      333  XRAY       1.8    0.2  0.235
1DOWA      205  XRAY       1.8    0.2  0.233
1H9JA      145  XRAY       1.8    0.2  0.266
1C02A      166  XRAY       1.8  0.201  0.247
3MN2A      108  XRAY       1.8  0.201  0.247
1UXYA      340  XRAY       1.8  0.202  0.246
1CCZA      171  XRAY       1.8  0.202  0.243
4UC1A      157  XRAY       1.8  0.202  0.247
4DZZA      206  XRAY       1.8  0.203  0.244
3UX3A      130  XRAY       1.8  0.203  0.246
2SPCA      107  XRAY       1.8  0.203  NA   
2CFMA      561  XRAY       1.8  0.204  0.231
3MAMA      270  XRAY       1.8  0.204  0.247
1KEWA      361  XRAY       1.8  0.205  0.221
3G3SA      249  XRAY       1.8  0.205  0.239
1XTYA      120  XRAY       1.8  0.205  0.224
2EO4A      149  XRAY       1.8  0.206  0.228
5U35A      125  XRAY       1.8  0.206  0.247
3QMQC       99  XRAY       1.8  0.206  0.243
1K0IA      394  XRAY       1.8  0.207   0.24
1J7XA      302  XRAY       1.8  0.207   0.22
5HI8A      136  XRAY       1.8  0.208  0.228
1I4JA      110  XRAY       1.8  0.208  0.255
2Q46A      253  XRAY       1.8  0.209  0.267
3PKZA      124  XRAY       1.8  0.209  0.246
1DFUP       94  XRAY       1.8  0.209  0.225
6QU0A      211  XRAY       1.8   0.21  0.234
2RJIA       84  XRAY       1.8   0.21  0.241
4GUZA      284  XRAY       1.8  0.211  0.245
6HQZA      154  XRAY       1.8  0.211  0.233
5A3DB      115  XRAY       1.8  0.211  0.241
1LXJA      104  XRAY       1.8  0.211  0.243
1WAAC       93  XRAY       1.8  0.211  0.268
1DNLA      199  XRAY       1.8  0.212  0.233
5X42A      195  XRAY       1.8  0.212   0.26
1LBVA      252  XRAY       1.8  0.215  0.273
1IQ4A      179  XRAY       1.8  0.215  0.259
3W0EA       68  XRAY       1.8  0.215  0.256
1IG0B      319  XRAY       1.8  0.217  0.234
1PRZA      252  XRAY       1.8  0.218  0.243
3Q6AB      135  XRAY       1.8  0.218  0.262
3EIPA       84  XRAY       1.8  0.218  0.265
1NKPB       83  XRAY       1.8  0.219  0.263
6V0MA       71  XRAY       1.8  0.221  0.263
6EICB      279  XRAY       1.8  0.223  0.251
2H1CA      139  XRAY       1.8  0.223  0.223
3FF9A      115  XRAY       1.8  0.223  0.257
3LIGA      634  XRAY       1.8  0.225  0.244
2ZD2A      234  XRAY       1.8  0.225  0.279
2EBEA      106  XRAY       1.8  0.225   0.25
1RZHL      281  XRAY       1.8  0.227  0.233
1ZW0D       66  XRAY       1.8  0.227  0.259
1A92A       50  XRAY       1.8  0.227  0.279
4BHBA      165  XRAY       1.8  0.228  0.294
3GQHA      163  XRAY       1.8  0.229  0.256
4ABMA       79  XRAY       1.8   0.23  0.285
1ESJA      284  XRAY       1.8  0.231  0.253
4IG2A      331  XRAY       1.8  0.234  0.282
1ZT3A       80  XRAY       1.8  0.235  0.275
1ZTWA      255  XRAY       1.8  0.237  0.264
2YZTA       67  XRAY       1.8  0.242  0.271
4Q5WB      183  XRAY     1.801  0.182  0.226
5EDXA      114  XRAY     1.801  0.184  0.209
4NE3A       93  XRAY     1.801  0.232  0.252
4NE3B       74  XRAY     1.801  0.232  0.252
2GAXA      135  XRAY     1.801  0.249  0.284
3ZU3A      405  XRAY     1.802   0.17  0.212
3V8IA      210  XRAY     1.802  0.184  0.224
4XO1A       60  XRAY     1.802  0.196  0.223
4OKVF       66  XRAY     1.802   0.22   0.25
2PVQA      201  XRAY     1.803    0.2  0.248
7DWCA      264  XRAY     1.804  0.176  0.208
6AQEB      266  XRAY     1.805  0.163  0.186
5O0JA      453  XRAY      1.81  0.163  0.202
3LURA      158  XRAY      1.81  0.178  0.218
4G6MA      150  XRAY      1.81  0.203  0.226
1C96A      753  XRAY      1.81  0.225  NA   
6JQ9B      483  XRAY      1.81  0.238  0.288
4ZKFA      462  XRAY      1.82  0.167   0.19
4O7QA       94  XRAY      1.82   0.18  0.238
6HDEB      152  XRAY      1.82  0.183  0.221
2BG5A      324  XRAY      1.82  0.209   0.25
5IJAA      148  XRAY      1.82  0.218  0.264
1GTOA       62  XRAY      1.82  0.224   0.28
5EN2C      141  XRAY     1.821  0.183  0.224
5TWBA      344  XRAY     1.822  0.191  0.227
5H04A      419  XRAY     1.825  0.181  0.218
6H9JA      338  XRAY      1.83  0.167  0.187
4G3JA      448  XRAY      1.83  0.172   0.22
1HQ0A      295  XRAY      1.83  0.193  0.214
6W3FA      115  XRAY      1.83   0.22  0.255
6UIOA      112  XRAY      1.83  0.228  0.262
6WI5A       90  XRAY      1.83  0.249  0.271
6OCGA      247  XRAY     1.833  0.179  0.219
4ILYB      250  XRAY     1.835  0.159  0.195
5CFLA      187  XRAY     1.836  0.173  0.209
6QGRA      437  XRAY     1.839  0.176  0.221
6QGRB      291  XRAY     1.839  0.176  0.221
6QGRG      253  XRAY     1.839  0.176  0.221
1A44A      185  XRAY      1.84  0.148  0.216
5E5BA      431  XRAY      1.84  0.157  0.176
6G60A      508  XRAY      1.84   0.17  0.199
5LOAA      319  XRAY      1.84  0.173  0.206
4V3CA      388  XRAY      1.84  0.175  0.218
2OR2A      296  XRAY      1.84  0.186  0.215
5OP0B      331  XRAY      1.84  0.187  0.209
6IARA      237  XRAY      1.84  0.192  0.239
3ZYWB      111  XRAY      1.84  0.202   0.25
5OO7A      257  XRAY      1.84  0.206  0.252
3LZ6A      263  XRAY      1.84  0.209  0.251
2CU5A      129  XRAY      1.84  0.209  0.239
4I4NA      281  XRAY      1.84  0.243  0.266
6FWTA      277  XRAY     1.845  0.169  0.218
6PGLA      218  XRAY     1.845  0.189  0.219
4RVSA      329  XRAY     1.846   0.17  0.182
7ALAF       87  XRAY     1.846  0.187   0.22
3ROWA      344  XRAY     1.849  0.161  0.191
4P7CA      322  XRAY      1.85  0.154  0.197
7O0EG      452  XRAY      1.85  0.157  0.191
7CT3A      120  XRAY      1.85   0.16  0.215
3B9YA      388  XRAY      1.85  0.161  0.183
5B66B      505  XRAY      1.85  0.164  0.201
5B66D      342  XRAY      1.85  0.164  0.201
5B66V      137  XRAY      1.85  0.164  0.201
5B66Z       62  XRAY      1.85  0.164  0.201
6XJ7A      293  XRAY      1.85  0.166  0.203
3F7WA      288  XRAY      1.85  0.167  0.204
4K4CA      137  XRAY      1.85  0.168  0.207
4CZXA      324  XRAY      1.85  0.169  0.197
3N9SA      307  XRAY      1.85  0.169  0.214
4FYTA      903  XRAY      1.85   0.17  0.183
2X97A      598  XRAY      1.85  0.173  0.201
6GRHD      396  XRAY      1.85  0.174  0.207
4RIFB      379  XRAY      1.85  0.177  0.198
2CWYA       94  XRAY      1.85  0.178  0.214
2ZFZD       79  XRAY      1.85  0.179  0.225
4F55A      128  XRAY      1.85   0.18  0.212
5K8CA      358  XRAY      1.85  0.181  0.218
7CZ9B     1042  XRAY      1.85  0.182  0.217
6I96A      677  XRAY      1.85  0.183  0.219
2ABKA      211  XRAY      1.85  0.185  0.216
4Z3XA      653  XRAY      1.85  0.186  0.233
7FBCA      461  XRAY      1.85  0.186  0.215
2HRZA      342  XRAY      1.85  0.186  0.225
1QRLA      214  XRAY      1.85  0.186  0.236
5CDEA      398  XRAY      1.85  0.187  0.224
3EN8A      128  XRAY      1.85  0.187  0.228
2GAGA      965  XRAY      1.85  0.189   0.23
2F4MA      295  XRAY      1.85  0.189  0.239
3P6LA      262  XRAY      1.85  0.189  0.238
6WN0B      213  XRAY      1.85  0.189  0.229
5L8XA      172  XRAY      1.85  0.189  0.237
4EWLA      299  XRAY      1.85  0.191  0.224
4WJKA      452  XRAY      1.85  0.192  0.238
2YZHD      171  XRAY      1.85  0.192  0.222
